Region,Pollution Ranking,Country,Year,PM2.5,CFR,Rainfall,RH,Temp,Urban,Pop density,Obesity%,Diabetes,Hypertension%,oldage,GDP
Asia,51,Sri Lanka,2021,17.4,0.132393459,2275.01,87.49,24.76,19.026,366.344,15.2,11.3,36,17.809431,84356.86374
Asia,51,Sri Lanka,2020,22.4,0.112316283,1557.17,82.85,25.4,19.026,366.344,15.2,11.3,36,17.809431,84356.86374
Asia,51,Sri Lanka,2022,20.7,0.10892587,2061.3,86.63,24.68,19.026,366.344,15.2,11.3,36,17.809431,84356.86374
Asia,51,Sri Lanka,2023,19.3,0.063476508,2383.1,85.38,25.2,19.026,366.344,15.2,11.3,36,17.809431,84356.86374
Asia,51,Sri Lanka,2024,17.9,0.048118371,1573.01,83.57,25.85,19.026,366.344,15.2,11.3,36,17.809431,84356.86374
Asia,45,Thailand,2024,29.8,0.18554,1400.45,74.19,27.25,52.889,140.348,20,9.7,39,20.943678,514968.6992
Asia,45,Thailand,2022,28.1,0.17,1779.96,81.53,25.28,52.889,140.348,20,9.7,39,20.943678,514968.6992
Asia,45,Thailand,2021,30.2,0.16,1541.85,78.35,25.58,52.889,140.348,20,9.7,39,20.943678,514968.6992
Asia,45,Thailand,2023,23.3,0.11205,1279.99,75.86,26.38,52.889,140.348,20,9.7,39,20.943678,514968.6992
Asia,45,Thailand,2020,21.4,0.07,1486.48,73.94,26.7,52.889,140.348,20,9.7,39,20.943678,514968.6992
Asia,23,Vietnam,2022,27.2,0.038071515,3394.46,83.76,26.14,38.766,320.196,12.1,9.1,30,12.710798,429716.969
Asia,23,Vietnam,2021,24.7,0.031010374,3194.15,83.38,26.12,38.766,320.196,12.1,9.1,30,12.710798,429716.969
Asia,23,Vietnam,2023,29.6,0.025207209,3800.86,83.78,26.56,38.766,320.196,12.1,9.1,30,12.710798,429716.969
Asia,23,Vietnam,2024,28.7,0.018794003,2859.15,83.53,26.74,38.766,320.196,12.1,9.1,30,12.710798,429716.969
Asia,23,Vietnam,2020,28,0.015650999,3876.8,83.73,26.4,38.766,320.196,12.1,9.1,30,12.710798,429716.969
